iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
AUS	Australia	1950	0.31400	0.20340	1.36314	1.16424	
AUS	Australia	1951	-0.04600	-0.20394	0.20682	0.00703	0.013300125
AUS	Australia	1952	-0.13300	-0.26039	0.02714	-0.12378	-0.01217634
AUS	Australia	1953	0.13000	0.08363	0.02504	-0.01702	0.012011429
AUS	Australia	1954	0.18600	0.17794	0.07019	0.06292	0.038901587
AUS	Australia	1955	0.10300	0.08097	0.07081	0.04942	0.031113815
AUS	Australia	1956	0.07700	0.01357	0.15163	0.08380	0.010322471
AUS	Australia	1957	0.16700	0.13882	0.14944	0.12168	-0.002280452
AUS	Australia	1958	0.18900	0.17357	0.07087	0.05697	0.027160098
AUS	Australia	1959	0.44300	0.41692	0.07182	0.05245	0.039733766
AUS	Australia	1960	-0.06200	-0.09627	0.18052	0.13739	0.01925625
AUS	Australia	1961	0.11600	0.08865	-0.04652	-0.06989	0.022848553
AUS	Australia	1962	0.04200	0.04491	0.15769	0.16093	-0.018823468
AUS	Australia	1963	0.26600	0.25932	0.16707	0.16091	0.050813306
AUS	Australia	1964	0.04400	0.01992	0.08700	0.06193	0.040290467
AUS	Australia	1965	-0.08200	-0.11699	0.08826	0.04678	0.057528155
AUS	Australia	1966	0.06700	0.03617	0.08290	0.05161	0.042790415
AUS	Australia	1967	0.42500	0.38090	0.08523	0.05164	0.025513927
AUS	Australia	1968	0.34800	0.31316	0.11857	0.08966	0.069458997
AUS	Australia	1969	0.10100	0.06977	0.13167	0.09957	0.03287304
AUS	Australia	1970	-0.13700	-0.16944	0.15090	0.10764	0.026455646
AUS	Australia	1971	-0.06100	-0.11469	0.17449	0.10734	0.004873346
AUS	Australia	1972	0.36400	0.28843	0.14717	0.08361	0.01037494
AUS	Australia	1973	-0.25800	-0.32216	0.24786	0.13996	0.027662706
AUS	Australia	1974	-0.26200	-0.35887	0.24937	0.08537	-0.013911896
AUS	Australia	1975	0.54600	0.34351	0.16637	0.01360	0.015307565
AUS	Australia	1976	0.03600	-0.08742	0.17694	0.03673	0.024317968
AUS	Australia	1977	0.13200	0.00801	0.14364	0.01837	-0.001210133
AUS	Australia	1978	0.24300	0.15174	0.10838	0.02700	0.02985943
AUS	Australia	1979	0.39000	0.27418	0.12429	0.03061	0.020931157
AUS	Australia	1980	0.52300	0.38295	0.23567	0.12204	0.02169668
AUS	Australia	1981	-0.10800	-0.18681	0.20258	0.09633	0.015697563
AUS	Australia	1982	-0.15300	-0.23794	0.11573	0.00384	-0.040494663
AUS	Australia	1983	0.63700	0.48665	0.10249	0.00123	0.034236751
AUS	Australia	1984	0.00500	-0.03319	0.18509	0.14005	0.042112926
AUS	Australia	1985	0.42100	0.33128	0.14987	0.07727	0.030450626
AUS	Australia	1986	0.51100	0.38516	0.13456	0.04007	0.006235473
AUS	Australia	1987	-0.09600	-0.16673	0.10648	0.01990	0.039478767
AUS	Australia	1988	0.21100	0.12933	0.28200	0.19554	0.023818127
AUS	Australia	1989	0.17900	0.09614	0.29427	0.20331	0.022276648
AUS	Australia	1990	-0.15300	-0.21042	0.06589	-0.00637	-0.020691169
AUS	Australia	1991	0.27500	0.23519	0.05485	0.02191	-0.011701015
AUS	Australia	1992	-0.02200	-0.03155	0.07063	0.06018	0.02539192
AUS	Australia	1993	0.40456	0.37955	0.07174	0.05265	0.031644758
AUS	Australia	1994	-0.08810	-0.10506	0.07832	0.05827	0.034068057
AUS	Australia	1995	0.20723	0.15372	0.06261	0.01551	0.029037705
AUS	Australia	1996	0.14342	0.11431	0.05805	0.03111	0.026123171
AUS	Australia	1997	0.11419	0.11169	0.07185	0.06945	0.033537805
AUS	Australia	1998	0.08479	0.07555	0.13950	0.12979	0.041282012
AUS	Australia	1999	0.19295	0.17639	0.10247	0.08716	0.028315467
AUS	Australia	2000	0.05023	0.00541	0.13605	0.08758	0.00739462
AUS	Australia	2001	0.10135	0.05486	0.11730	0.07014	0.0241463
AUS	Australia	2002	-0.08096	-0.10816	0.23695	0.20035	0.020714472
AUS	Australia	2003	0.15864	0.12749	0.20934	0.17683	0.027993958
AUS	Australia	2004	0.27568	0.24689	0.08885	0.06427	0.012259611
AUS	Australia	2005	0.21088	0.17952	0.03706	0.01020	0.018631771
AUS	Australia	2006	0.24966	0.20677	0.10147	0.06367	0.012892064
AUS	Australia	2007	0.17953	0.15238	0.13594	0.10979	0.031976295
AUS	Australia	2008	-0.40385	-0.42869	0.06564	0.02123	0.016012927
AUS	Australia	2009	0.39578	0.37151	0.05680	0.03842	-0.001425573
AUS	Australia	2010	0.03306	0.00431	0.14347	0.11164	0.004921545
AUS	Australia	2011	-0.11431	-0.14285	-0.00476	-0.03684	0.010488231
AUS	Australia	2012	0.18841	0.16841	0.01437	-0.00271	0.021196492
AUS	Australia	2013	0.19656	0.16794	0.08900	0.06296	0.008343641
AUS	Australia	2014	0.05610	0.03021	0.11234	0.08507	0.010151142
AUS	Australia	2015	0.02561	0.01060	0.11045	0.09420	0.00732407
DNK	Denmark	1950	0.25552	0.18283	0.10102	0.03728	
DNK	Denmark	1951	-0.02810	-0.12066	0.18578	0.07285	-0.001159017
